City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
235,Nalut,LY,30.3333,10.85,49.42,62,3,11.83,clear sky,2022-02-08 01:39:24
236,Ulaanbaatar,MN,47.9077,106.8832,-14.67,76,9,2.24,clear sky,2022-02-08 01:39:24
237,Sapouy,BF,11.5544,-1.7736,70.45,17,0,6.87,clear sky,2022-02-08 01:39:25
238,Naze,JP,28.3667,129.4833,67.12,77,18,13.6,few clouds,2022-02-08 01:39:26
239,Kaspiysk,RU,42.8816,47.6392,28.58,80,76,8.95,broken clouds,2022-02-08 01:39:26
240,Opuwo,NA,-18.0607,13.84,66.42,70,93,5.77,light rain,2022-02-08 01:39:27
241,Sorland,NO,67.667,12.6934,37.56,64,100,25.41,overcast clouds,2022-02-08 01:39:27
242,Steamboat Springs,US,40.485,-106.8317,27.9,75,0,8.05,clear sky,2022-02-08 01:35:36
243,Mount Isa,AU,-20.7333,139.5,85.77,54,41,13.8,scattered clouds,2022-02-08 01:39:28
244,Saint-Joseph,RE,-21.3667,55.6167,73.78,86,100,11.72,overcast clouds,2022-02-08 01:39:29
245,Noumea,NC,-22.2763,166.4572,84.99,99,54,18.07,broken clouds,2022-02-08 01:39:29
246,Oakham,GB,52.6667,-0.7333,50.14,79,20,16.11,few clouds,2022-02-08 01:39:30
247,Gravdal,NO,68.1214,13.5031,36.23,64,100,19.24,overcast clouds,2022-02-08 01:39:30
248,Port Augusta,AU,-32.5,137.7667,90.72,22,95,17.63,overcast clouds,2022-02-08 01:39:31
249,Mporokoso,ZM,-9.3727,30.125,59.54,96,100,2.19,light rain,2022-02-08 01:39:31
250,Rabak,SD,13.1809,32.74,66.24,23,8,8.1,clear sky,2022-02-08 01:35:48
251,Mehamn,NO,71.0357,27.8492,26.33,93,90,15.1,overcast clouds,2022-02-08 01:39:32
252,Thaba-Tseka,LS,-29.522,28.6084,50.52,87,7,1.7,clear sky,2022-02-08 01:39:33
253,Caravelas,BR,-17.7125,-39.2481,77.11,86,9,6.02,clear sky,2022-02-08 01:39:33
254,Vanimo,PG,-2.6741,141.3028,84.72,70,100,4.03,overcast clouds,2022-02-08 01:39:34
255,Hovd,MN,48.0056,91.6419,-12.39,67,5,2.91,clear sky,2022-02-08 01:39:34
256,Saint-Georges,GD,12.0564,-61.7485,78.48,83,40,11.5,scattered clouds,2022-02-08 01:39:23
257,Lodja,CD,-3.4833,23.4333,68.86,94,85,1.07,overcast clouds,2022-02-08 01:39:35
