City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
508,Dangriga,BZ,73.36,clear sky,16.9692,-88.2321,Chaleanor Hotel
509,Ukiah,US,66.56,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
511,Tumut,AU,74.39,clear sky,-35.3,148.2167,Amaroo Motel
514,Ixtapa,MX,72.63,clear sky,20.7,-105.2,Hotel Plaza Providencia
515,Piacabucu,BR,78.37,clear sky,-10.4056,-36.4344,Piaçabuçu News
518,Coari,BR,73.44,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
519,Ranot,TH,80.83,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
522,Auki,SB,81.64,heavy intensity rain,-8.7676,160.7034,Auki Motel
525,Upata,VE,71.71,scattered clouds,8.0086,-62.3989,Posada Villa Nela
526,Itatinga,BR,63.36,scattered clouds,-23.1017,-48.6158,Hotel Restaurante Nova Itatinga
527,Nouakchott,MR,64.33,clear sky,18.0858,-15.9785,HOTEL IMAN
528,Ko Samui,TH,82.31,few clouds,9.5357,99.9357,The Passage
529,Champerico,GT,81.36,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
531,Petauke,ZM,62.58,overcast clouds,-14.2426,31.3253,Newline Lodge
532,Kindu,CD,69.28,overcast clouds,-2.95,25.95,Résidence Okanda
533,Kavaratti,IN,77.97,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
536,Ifo,NG,78.42,overcast clouds,6.8144,3.1958,Footed Hotel and Suites
537,San Jose,US,65.08,clear sky,37.3394,-121.895,The Westin San Jose
538,Palauig,PH,84.16,overcast clouds,15.435,119.9045,Alperi Botique Resort
541,Maridi,SS,66.29,overcast clouds,4.9158,29.4742,
543,Alta Floresta,BR,71.42,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
545,Aguimes,ES,66.83,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
546,Dwarka,IN,68.63,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
548,Isangel,VU,81.66,overcast clouds,-19.55,169.2667,Tanna Lodge
550,Diamantino,BR,73.2,overcast clouds,-14.4086,-56.4461,Hotel Delta
557,Phonhong,LA,69.62,few clouds,18.5007,102.4166,Manyvong Guest House
561,Wamba,NG,71.06,scattered clouds,8.9333,8.6,Roma Zee Guest House Annex
562,Lubao,PH,85.14,overcast clouds,14.9167,120.55,Hacienda Gracia
566,Geraldton,AU,73.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
568,Mouila,GA,73.17,overcast clouds,-1.8685,11.0559,Hôtel du Lac Bleu
570,Butterworth,MY,82.44,few clouds,5.3991,100.3638,Cititel Penang
572,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
573,Ponta Delgada,PT,60.49,broken clouds,37.7333,-25.6667,Vila Nova Hotel
576,De Aar,ZA,71.4,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
577,Funes,AR,66.11,clear sky,-32.9157,-60.81,El Sueño
579,Camopi,GF,72.25,overcast clouds,3.1655,-52.3158,La pousada
581,Maroantsetra,MG,74.98,broken clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
587,Wawa,NG,75.25,clear sky,9.9022,4.4192,
589,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
592,Ndele,CF,68.05,overcast clouds,8.4109,20.6473,
595,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
598,Sinnamary,GF,76.69,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
600,Peddapuram,IN,69.89,clear sky,17.0833,82.1333,"కొండపు కొజ్జాబాబు, వీరబాబు"
601,Port Lincoln,AU,72.46,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
607,Byron Bay,AU,81.05,scattered clouds,-28.65,153.6167,Backpackers Inn
610,Kamakwie,SL,71.46,broken clouds,9.5,-12.2333,White House Hotel
612,Rosario,AR,66.11,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
613,Harper,LR,77.74,light rain,4.375,-7.7169,Screensaver
616,Sumbe,AO,75.2,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
621,Beloha,MG,79.54,overcast clouds,-25.1667,45.05,
622,Araouane,ML,64.09,scattered clouds,18.9048,-3.5265,
623,Chimbote,PE,70.92,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
625,Bowen,AU,82.62,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
629,Celestun,MX,72.52,scattered clouds,20.8667,-90.4,Posada Lilia
630,Maumere,ID,84.34,overcast clouds,-8.6199,122.2111,Sylvia Hotel
631,Mercedes,AR,67.84,clear sky,-34.6515,-59.4307,Posada del Inti Centro
632,Luau,AO,62.49,light rain,-10.7073,22.2247,Casa- Bernardo Cândido
633,Topolobampo,MX,68.05,clear sky,25.6,-109.05,Hotel Marina Topolobampo
635,Santa Cruz Del Sur,CU,74.28,moderate rain,20.7147,-77.9956,
636,Contai,IN,66.07,clear sky,21.7786,87.7536,PATHFINDER
638,Kupang,ID,84.31,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
639,Ouesso,CG,65.89,clear sky,1.6136,16.0517,ABENIE Hotel
643,Owando,CG,70.95,few clouds,-0.4819,15.8999,Exaunel Hotel Owando
645,Matadi,CD,73.99,broken clouds,-5.8167,13.45,Hotel Vivi Palace
648,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
659,Ahipara,NZ,76.37,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
660,Ahuimanu,US,78.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
662,Livingstone,ZM,62.44,clear sky,-17.8419,25.8543,Gloria's Bed and Breakfast
664,Vila Franca Do Campo,PT,60.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
